OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
6753, ,Protected Bike Lane,BROADWAY,101ST ST,102ND ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6754,Backbone,Buffer Bike Lane,GLENOAKS BL,GAIN ST,OSBORNE ST,,2020/09/12 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
6755,Backbone,Buffer Bike Lane,POLK ST,NORRIS AV,BRADLEY AV,,2020/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
6756, ,Protected Bike Lane,BROADWAY,101ST ST,102ND ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6757, ,Protected Bike Lane,BROADWAY,103RD ST,104TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6758, ,Protected Bike Lane,BROADWAY,108TH ST,109TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6759, ,Protected Bike Lane,BROADWAY,111TH PL,112TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6760, ,Protected Bike Lane,BROADWAY,111TH ST,111TH PL,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6761, ,Protected Bike Lane,BROADWAY,106TH ST,107TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6762, ,Protected Bike Lane,BROADWAY,105TH ST,106TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6763, ,Protected Bike Lane,BROADWAY,102ND ST,103RD ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6764,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,WESTLAWN AV,VILLAGE DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6765,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,WESTLAWN AV,VILLAGE DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6766,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,PLAYA VISTA DR,LINCOLN BL,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6767,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,PLAYA VISTA DR,LINCOLN BL,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6768,Backbone,Protected Bike Lane,FIGUEROA ST,3RD ST,4TH ST,,2021/03/19 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
6769,Backbone,Protected Bike Lane,FIGUEROA ST,3RD ST,4TH ST,,2021/03/19 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
6770, ,Protected Bike Lane,MANCHESTER AV,OSAGE AV,BELLANCA AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6771, ,Lane,CENTURY BL,BANDERA ST,HOLMES AV,,2020/08/29 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
6772, ,Protected Bike Lane,MANCHESTER AV,LA TIJERA BL,TRUXTON AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6773, ,Protected Bike Lane,MANCHESTER AV,WILEY POST AV,LA TIJERA BL,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6774, ,Protected Bike Lane,MANCHESTER AV,WINSFORD AV,RAMSGATE AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6775,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,SEABLUFF DR,PARA WY,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6776,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,SEABLUFF DR,PARA WY,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6777,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,DAWN CK,SEABLUFF DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6778,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,DAWN CK,SEABLUFF DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6779,,Lane,COLFAX AV,OXNARD ST,CALIFA ST,,2021/08/16 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6780,,Lane,COLFAX AV,CALIFA ST,HATTERAS ST,,2021/08/16 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6781,Backbone,Protected Bike Lane,VENICE BL,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6782,Backbone,Protected Bike Lane,VENICE BL,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6783,Backbone,Protected Bike Lane,VENICE BL,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6784,Backbone,Protected Bike Lane,VENICE BL,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6785,Backbone,Protected Bike Lane,VENICE BL,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6786,Backbone,Protected Bike Lane,VENICE BL,JASMINE AVE,WINTON AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6787,Backbone,Protected Bike Lane,VENICE BL,HUGHES AVE,DUNN DR,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6788,Backbone,Protected Bike Lane,VENICE BL,BAGLEY AVE,CARDIFF AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6789,Backbone,Protected Bike Lane,VENICE BL,DURANGO AVE,CANFIELD AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6790,Backbone,Protected Bike Lane,VENICE BL,CANFIELD AVE,BAGLEY AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6791,Backbone,Protected Bike Lane,VENICE BL,GOLDWYN TER,MOTOR AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6792,Backbone,Protected Bike Lane,VENICE BL,VINTON AVE,GOLDWYN TER,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6793,Backbone,Protected Bike Lane,VENICE BL,JASMINE AVE,VINTON AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6794,Backbone,Protected Bike Lane,VENICE BL,VINTON AVE,MOTOR BLVD,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6795,Backbone,Protected Bike Lane,VENICE BL,DUNN DR,CLARINGTON AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6796,Backbone,Protected Bike Lane,VENICE BL,DUNN DR,CLARINGTON AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6797,Backbone,Protected Bike Lane,VENICE BL,CANFIELD AVE,BAGLEY AVE,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6798,Backbone,Protected Bike Lane,VENICE BL,CANFIELD AVE,CULVER BLVD,,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6799,Backbone,Protected Bike Lane,VENICE BLVD,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6800,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,PARA WY,SEAWALK DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6801,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,PARA WY,SEAWALK DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6802, ,Protected Bike Lane,BROADWAY,113TH ST,IMPERIAL HY,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6803,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,McCONNELL AV,DAWN CK,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6804,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,McCONNELL AV,DAWN CK,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6805,,Lane,CHASE ST,VAN NUYS BL,VESPER AV,,2021/02/12 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
6806,,Lane,FIGUEROA ST,ALPINE ST,BARTLETT ST,,2021/04/06 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6807,,Lane,FIGUEROA ST,BARTLETT ST,SUNSET BL/CESAR E. CHAVEZ AV,,2021/04/06 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6808,Backbone,Protected Bike Lane,FIGUEROA ST,2ND ST,3RD ST,,2021/03/19 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
6809,,Lane,7TH ST,HOBART BL,SERRANO AV,,2021/03/02 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6810,,Lane,7TH ST,SERRANO AV,OXFORD AV,,2021/03/02 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6811,,Buffer Bike Lane,LAUREL CANYON BL,GOLDEN STATE FY/SHELDON ST,ALLEGHENY ST,,2020/12/31 00:00:00+00,,Buffer Bike Lane,2023/10/17 00:00:00+00
6812,,Buffer Bike Lane,LAUREL CANYON BL,ALLEGHENY ST,WICKS ST,,2020/12/31 00:00:00+00,,Buffer Bike Lane,2023/10/17 00:00:00+00
6813,Backbone,Protected Bike Lane,VENICE BL,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6814,,Lane,7TH ST,OXFORD AV,WESTERN AV,,2021/03/02 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6815,,Sharrowed Route,7TH ST,OXFORD AV,WESTERN AV,,2021/03/02 00:00:00+00,,Sharrowed Route,2023/10/17 00:00:00+00
6816,,Sharrowed Route,MAXELLA AV,REDWOOD AV,GLENCOE AV,,2021/05/13 00:00:00+00,,Sharrowed Route,2023/10/17 00:00:00+00
6817,,Buffer Bike Lane,MAXELLA AV,SUNNYSIDE AV,REDWOOD AV,,2021/05/13 00:00:00+00,,Buffer Bike Lane,2023/10/17 00:00:00+00
6818,,Buffer Bike Lane,MAXELLA AV,TIVOLI AV,SUNNYSIDE AV,,2021/05/13 00:00:00+00,,Buffer Bike Lane,2023/10/17 00:00:00+00
6819,,Buffer Bike Lane,MAXELLA AV,ALLA RD,MICHAEL AV,,2021/05/13 00:00:00+00,,Buffer Bike Lane,2023/10/17 00:00:00+00
6820,,Buffer Bike Lane,MAXELLA AV,MICHAEL AV,TIVOLI AV,,2021/05/13 00:00:00+00,,Buffer Bike Lane,2023/10/17 00:00:00+00
6821,,Lane,CHASE ST,VESPER AV,TOBIAS AV,,2021/02/12 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
6822,,Lane,CHATSWORTH ST,COLUMBUS AV,SEPULVEDA BL,,2021/06/02 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6823,,Lane,CHATSWORTH ST,BURNET AV,MEMORY PARK AV,,2021/06/02 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6824,,Lane,CHATSWORTH ST,MEMORY PARK AV,COLUMBUS AV,,2021/06/02 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6825,,Lane,CHATSWORTH ST,CHATSWORTH DR,BURNET AV,,2021/06/02 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6826,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,VILLAGE DR,McCONNELL AV,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6827,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,VILLAGE DR,McCONNELL AV,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6828,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,CAMPUS CENTER DR,WESTLAWN AV,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6829,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,CAMPUS CENTER DR,WESTLAWN AV,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6830,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,SEAWALK DR,PLAYA VISTA DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6831,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,SEAWALK DR,PLAYA VISTA DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6832,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,SEAWALK DR,PLAYA VISTA DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6833,Neighborhood,Buffer Bike Lane,BLUFF CREEK DR,SEAWALK DR,PLAYA VISTA DR,,2021/07/30 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6834, ,Protected Bike Lane,MANCHESTER AV,AIRPORT BL,WILEY POST AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6835, ,Protected Bike Lane,MANCHESTER AV,OSAGE AV,BELLANCA AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6836, ,Protected Bike Lane,MANCHESTER AV,RAMSGATE AV,BELFORD AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6837,Neighborhood,Buffer Bike Lane,HOOVER ST,32ND ST,JEFFERSON BL,,2020/09/02 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6838,Neighborhood,Buffer Bike Lane,HOOVER ST,ADAMS BL,27TH ST,,2020/09/02 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6839,Backbone,Buffer Bike Lane,GLENOAKS BL,TERRA BELLA ST,OSBORNE ST,,2020/09/12 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
6840, ,Protected Bike Lane,BROADWAY,102ND ST,103RD ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6841, ,Protected Bike Lane,MANCHESTER AV,BELFORD AV,AIRPORT BL,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6842, ,Protected Bike Lane,MANCHESTER AV,RAMSGATE AV,BELFORD AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6843,Backbone,Buffer Bike Lane,"MARTIN LUTHER KING, JR BL",MARLTON AV,BUCKINGHAM RD,,2020/01/18 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6844, ,Protected Bike Lane,BROADWAY,CENTURY BL,101ST ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6845, ,Protected Bike Lane,BROADWAY,106TH ST,107TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6846, ,Protected Bike Lane,BROADWAY,109TH ST,109TH PL,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6847, ,Protected Bike Lane,BROADWAY,112TH ST,113TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6848, ,Protected Bike Lane,MANCHESTER AV,BELLANCA AV,WINSFORD AV,,2020/09/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6849, ,Protected Bike Lane,BROADWAY,111TH ST,111TH PL,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6850, ,Protected Bike Lane,BROADWAY,103RD ST,104TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6851,Backbone,Buffer Bike Lane,GLENOAKS BL,GAIN ST,TERRA BELLA ST,,2020/09/12 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
6852,Backbone,Buffer Bike Lane,POLK ST,HERRICK AV,WOODCOCK AV,,2020/08/28 00:00:00+00,Central,Buffer Bike Lane,2023/10/17 00:00:00+00
6853,Neighborhood,Buffer Bike Lane,HOOVER ST,28TH ST,28TH ST,,2020/09/02 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
6854,Backbone,Buffer Bike Lane,POLK ST,WOODCOCK AV,NORRIS AV,,2020/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
6855,Backbone,Protected Bike Lane,FIGUEROA ST,6TH ST,WILSHIRE BL,,2021/03/19 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
6856,Backbone,Protected Bike Lane,FIGUEROA ST,5TH ST,6TH ST,,2021/03/19 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
6857,Backbone,Protected Bike Lane,FIGUEROA ST,4TH ST,5TH ST,,2021/03/19 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
6858, ,Protected Bike Lane,BROADWAY,109TH PL,110TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6859, ,Protected Bike Lane,BROADWAY,110TH ST,111TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6860, ,Protected Bike Lane,BROADWAY,109TH ST,109TH PL,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6861, ,Protected Bike Lane,BROADWAY,104TH ST,105TH ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6862, ,Protected Bike Lane,BROADWAY,CENTURY BL,101ST ST,,2021/03/01 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6863,Backbone,Protected Bike Lane,VENICE BL,VENICE WY,CRENSHAW BL (E/B)/LA FAYETTE RD (W/B),,2023/05/15 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
6864,,Lane,FIGUEROA ST,MARMION WY,AVENUE 37,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6865,,Lane,FIGUEROA ST,AMABEL ST,LORETO ST,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6866,,Lane,FIGUEROA ST,AVENUE 28,AVENUE 26,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6867,,Lane,FIGUEROA ST,MARMION WY,AVENUE 37,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6868,,Lane,FIGUEROA ST,ULYSSES ST,AMABEL ST,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6869,,Lane,FIGUEROA ST,CYPRESS AV,RIVER ST,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6870,,Lane,FIGUEROA ST,AVENUE 37,THERESA ST,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6871,,Lane,FIGUEROA ST,THERESA ST,ULYSSES ST,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6872,,Lane,FIGUEROA ST,LORETO ST,CYPRESS AV,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6873,,Lane,FIGUEROA ST,RIVER ST,AVENUE 28,,2022/02/12 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6874,,Lane,BROOKHAVEN AVE,STONER AV,GRANVILLE AV,,2022/03/16 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6875,,Lane,BROOKHAVEN AVE,GRANVILLE AV,BURKSHIRE AV,,2022/03/16 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6876,,Lane,BROOKHAVEN AVE,BARRINGTON AV,STONER AV,,2022/03/16 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6877,,Sharrowed Route,SLAUSON AVE,BRADDOCK DR,BRADSON PL,,2022/04/08 00:00:00+00,,Sharrowed Route,2023/10/17 00:00:00+00
6878,,Lane,MISSION ROAD,130' S/O ARTEMUS ST,4TH ST N SERV RD,,2022/04/13 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6879,,Lane,MISSION ROAD,3RD ST,BOYD ST,,2022/04/13 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6880,,Lane,MISSION ROAD,BOYD ST,ARTEMUS ST,,2022/04/13 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6881,,Lane,MISSION ROAD,AZUSA ST,3RD ST,,2022/04/13 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6882,,Sharrowed Route,MISSION ROAD,1ST ST,MYERS ST,,2022/04/13 00:00:00+00,,Sharrowed Route,2023/10/17 00:00:00+00
6883,,Lane,MISSION ROAD,ARTEMUS ST,130' S/O ARTEMUS ST,,2022/04/13 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6884,,Lane,MISSION ROAD,MYERS ST,AZUSA ST,,2022/04/13 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6885,,Lane,IDAHO AVE,CARMELINA AV,CENTINELA AV,,2022/04/15 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6886,,Lane,IDAHO AVE,AMHERST AV,WELLESLEY AV,,2022/04/15 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6887,,Lane,IDAHO AVE,WELLESLEY AV,CARMELINA AV,,2022/04/15 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6888,,Lane,IDAHO AVE,BUNDY DR,AMHERST AV,,2022/04/15 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6889,,Path,LA RIVER PATH,MASON AVE,OWENSMOUTH AVE,,2022/04/21 00:00:00+00,,Path,2023/10/17 00:00:00+00
6890,,Protected Bike Lane,GRAND AVE,61ST ST,62ND ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6891,,Protected Bike Lane,GRAND AVE,79TH ST,80TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6892,,Protected Bike Lane,GRAND AVE,82ND ST,83RD ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6893,,Protected Bike Lane,GRAND AVE,69TH ST,70TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6894,,Protected Bike Lane,GRAND AVE,59TH PL,60TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6895,,Lane,GRAND AVE,71ST ST,FLORENCE AV,,2022/05/14 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6896,,Protected Bike Lane,GRAND AVE,68TH ST,69TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6897,,Protected Bike Lane,GRAND AVE,70TH ST,71ST ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6898,,Protected Bike Lane,GRAND AVE,60TH ST,61ST ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6899,,Protected Bike Lane,GRAND AVE,63RD PL,64TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6900,,Protected Bike Lane,GRAND AVE,65TH ST,66TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6901,,Protected Bike Lane,GRAND AVE,76TH ST,77TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6902,,Protected Bike Lane,GRAND AVE,81ST ST,82ND ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6903,,Protected Bike Lane,GRAND AVE,75TH ST,76TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6904,,Protected Bike Lane,GRAND AVE,83RD ST,84TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6905,,Protected Bike Lane,GRAND AVE,74TH ST,75TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6906,,Protected Bike Lane,GRAND AVE,GAGE AV,63RD PL,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6907,,Protected Bike Lane,GRAND AVE,77TH ST,78TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6908,,Protected Bike Lane,GRAND AVE,78TH ST,79TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6909,,Lane,GRAND AVE,FLORENCE AV,73RD ST,,2022/05/14 00:00:00+00,,Lane,2023/10/17 00:00:00+00
6910,,Protected Bike Lane,GRAND AVE,66TH ST,67TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6911,,Protected Bike Lane,GRAND AVE,80TH ST,81ST ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6912,,Protected Bike Lane,GRAND AVE,64TH ST,65TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6913,,Protected Bike Lane,GRAND AVE,84TH ST,84TH PL,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6914,,Protected Bike Lane,GRAND AVE,73RD ST,74TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6915,,Protected Bike Lane,GRAND AVE,62ND ST,GAGE AV,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
6916,,Protected Bike Lane,GRAND AVE,67TH ST,68TH ST,,2022/05/14 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
